uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
198522,abrondi,409,388,7,0,0,0,1373637915
764035,bernolozzo,408,381,9,0,0,0,1343661243
1723189,FranciM,408,165,45,0,18,0,1378144256
351993,sergeybe,406,331,23,0,1,0,1377618858
35880,lovertux,404,404,0,0,0,0,1210527180
63846,EdVanStrom,396,396,0,0,0,0,1223461960
58127,Michael-EF,395,365,6,0,2,0,1256246669
36834,Sigurd Gartmann,388,385,1,0,0,0,1250634282
1772091,Dario Secci,387,234,47,0,2,0,1401294860
1037356,nityakama,386,176,48,0,11,0,1374587825
20103,I like cats,385,292,31,0,0,0,1253447520
41098,Cyclop,384,384,0,0,0,0,1223161393
656522,jojokant,381,303,22,0,2,0,1398264812
187991,wolfkil,379,358,7,0,0,0,1351817343
210168,ottl,378,201,29,0,15,0,1354142172
1955455,Davide Berra,374,86,88,2,1,0,1398246089
1234549,docpuddu,372,213,21,0,16,0,1399798557
303581,BC60,371,368,1,0,0,0,1316291787
1279506,thibdrev,369,27,85,9,1,0,1390308314
1069176,landfahrer,364,34,39,7,19,6,1401445386
137160,xyzlr,364,349,5,0,0,0,1304248776
98316,cyflo,363,294,23,0,0,0,1384957918
107257,FrViPofm,361,1,39,1,38,1,1399747306
1785282,Maxmor,355,130,25,0,25,0,1385804558
149424,ice-c,349,202,21,0,14,0,1364231550
878485,Tracker_Tomas,348,333,5,0,0,0,1379178088
22384,GrumpyLump,343,172,19,0,19,0,1228832692
1813900,Prugno,339,141,28,0,19,0,1386458584
693666,andrex84x,336,276,20,0,0,0,1339143557
420595,klaus99,334,298,12,0,0,0,1339959371
29819,furban,326,176,22,0,14,0,1346326107
269173,bogomolje,325,295,10,0,0,0,1284223702
301486,occam11,324,312,4,0,0,0,1305042280
978106,CRoggio,321,126,61,0,2,0,1352669304
34023,ruena,320,290,10,0,0,0,1256845938
136668,Spiridillo,319,70,79,0,2,0,1370940878
1136744,cinzia81,317,26,97,0,0,0,1363716079
36334,jmeyerdo,316,298,6,0,0,0,1251487859
1213976,lucapo,315,198,17,0,11,0,1359908182
